#,Persona,Signal
1,Entertainer,"""Some of my pics wouldn't upload."""
2,Entertainer,"""Sign up could be a little less detailed. Just get the essentials first and get it up and going and remind me to add later."""
3,Venue,"""I have a date and I know I want something live, but I honestly don't know whether I should be looking for a DJ, a band or something else."""
4,Venue,"""I don't want to fill out ten fields just to see who's available next Friday."""
5,Venue,"""Can you just show me people who are actually free on that date?"""
6,Venue,"""I found someone I like, but I can't tell if €500 means one hour, the whole evening or just their minimum."""
7,Venue,"""Does this price include their equipment or do I need to provide everything?"""
8,Venue,"""I don't really know what technical questions I'm supposed to ask a band."""
9,Venue,"""We do this every Thursday. I don't want to create the same event again every week."""
10,Venue,"""I need somebody in two days. I don't have time to wait a week for people to apply."""
11,Venue,"""I sent three requests but I have no idea if anyone has actually seen them."""
12,Venue,"""If they don't answer by tomorrow I need to find somebody else."""
13,Venue,"""I'd rather post what we need and let interested performers come to me."""
14,Venue,"""There are only a few artists showing up. Is that really everyone available in Berlin?"""
15,Venue,"""I already found the musician somewhere else. Can I still manage the event here?"""
16,Venue,"""We already have an event in our calendar. I just need entertainment for it."""
17,Venue,"""Why do I have Events and Bookings? Aren't my bookings just events?"""
18,Venue,"""I just want to know what I have coming up this month and whether everything is sorted."""
19,Venue,"""I need the invoice for accounting. I don't want to chase the artist for it afterward."""
20,Venue,"""Do I need to make a contract myself or does Gigiii handle that?"""
21,Venue,"""What happens if the performer cancels the day before?"""
22,Venue,"""Can my colleague handle this booking too or does everything have to go through my account?"""
23,Entertainer,"""I don't want to enter my tax and business information before I've even received a booking."""
24,Entertainer,"""Just let me make a profile first. I'll fill in the boring stuff when somebody actually wants to book me."""
25,Entertainer,"""I have all of this on Instagram already. Why do I have to upload everything again?"""
26,Entertainer,"""Most of my good videos are on YouTube and Instagram. Can I just add those?"""
27,Entertainer,"""I got a request but I can't tell whether they're asking for background music or a proper concert."""
28,Entertainer,"""The venue says their budget is €300–€700. That's such a big range that I don't know what they're expecting."""
29,Entertainer,"""Before I accept, I need to know whether there's a PA, what the load-in situation is and how long I'm actually playing."""
30,Entertainer,"""I don't want to apply for gigs that are 50 kilometres away or don't pay enough."""
31,Entertainer,"""If I'm already booked that evening, Gigiii shouldn't show me opportunities I can't take."""
32,Entertainer,"""I accepted the offer. What am I waiting for now?"""
33,Entertainer,"""Do I need to send them an invoice or does Gigiii create one for me?"""
34,Entertainer,"""Most venues message me on Instagram. I need a good reason to move the conversation here."""
35,Entertainer,"""I don't want another calendar to maintain. It needs to work with the calendar I already use."""
36,Venue,"""I'd like our upcoming events on our website without entering them again in another system."""
37,Venue,"""We have a private company party. I need it on our schedule, but it absolutely shouldn't appear publicly."""
38,Venue,"""We know we want live music Saturday evenings, but I don't want to search through hundreds of profiles every week."""
39,Venue,"""This artist looks good, but there's not enough here for me to know whether they're professional and reliable."""
40,Venue,"""Just tell me who fits my date, budget, venue and type of event."""
